criterion,max_depth,min_samples_split,f1_score
information_gain,3,2,0.706766917293233
information_gain_ratio,3,2,0.706766917293233
gini_index,3,2,0.6666666666666666
information_gain,3,10,0.706766917293233
information_gain_ratio,3,10,0.706766917293233
gini_index,3,10,0.6666666666666666
information_gain,3,30,0.706766917293233
information_gain_ratio,3,30,0.706766917293233
gini_index,3,30,0.6666666666666666
information_gain,3,40,0.706766917293233
information_gain_ratio,3,40,0.706766917293233
gini_index,3,40,0.6666666666666666
information_gain,5,2,0.673469387755102
information_gain_ratio,5,2,0.673469387755102
gini_index,5,2,0.6851851851851852
information_gain,5,10,0.673469387755102
information_gain_ratio,5,10,0.673469387755102
gini_index,5,10,0.6851851851851852
information_gain,5,30,0.6605504587155964
information_gain_ratio,5,30,0.6605504587155964
gini_index,5,30,0.6722689075630253
information_gain,5,40,0.6605504587155964
information_gain_ratio,5,40,0.6605504587155964
gini_index,5,40,0.6722689075630253
information_gain,9,2,0.6788990825688074
information_gain_ratio,9,2,0.6788990825688074
gini_index,9,2,0.7008547008547008
information_gain,9,10,0.6857142857142857
information_gain_ratio,9,10,0.6857142857142857
gini_index,9,10,0.7192982456140351
information_gain,9,30,0.6727272727272727
information_gain_ratio,9,30,0.6727272727272727
gini_index,9,30,0.6605504587155964
information_gain,9,40,0.6727272727272727
information_gain_ratio,9,40,0.6727272727272727
gini_index,9,40,0.6722689075630253
information_gain,11,2,0.7130434782608696
information_gain_ratio,11,2,0.7130434782608696
gini_index,11,2,0.7008547008547008
information_gain,11,10,0.6915887850467289
information_gain_ratio,11,10,0.6915887850467289
gini_index,11,10,0.7142857142857143
information_gain,11,30,0.6890756302521008
information_gain_ratio,11,30,0.6890756302521008
gini_index,11,30,0.6605504587155964
information_gain,11,40,0.6727272727272727
information_gain_ratio,11,40,0.6727272727272727
gini_index,11,40,0.6722689075630253
